hour,fold,mae,mae_lasso_only,rmse,mape,directional_accuracy,n_test,n_test_excluded_storm
22,5,5.26,7.943,7.161,5.325,76.62,155,0
22,6,5.052,7.176,7.023,6.246,81.82,155,0
22,7,6.652,8.578,8.949,29.341,86.36,155,0
22,8,5.464,6.807,7.067,5.065,83.12,155,0
22,9,6.131,8.637,8.636,8.886,90.26,155,0
22,10,8.661,10.62,11.871,8.243,76.62,155,0
22,11,6.979,7.297,8.772,12.674,82.35,137,18
23,0,9.203,10.237,11.384,46.586,79.22,155,0
23,1,8.627,8.403,13.676,5.902,71.43,155,0
23,2,16.359,16.601,23.183,7.717,76.62,155,0
23,3,12.676,14.352,15.643,7.086,76.62,155,0
23,4,12.675,12.751,17.334,19.997,72.08,155,0
23,5,6.916,7.1,8.717,7.78,73.38,155,0
23,6,7.647,7.699,9.766,14.835,84.42,155,0
23,7,7.679,7.765,9.649,54.246,81.82,155,0
23,8,6.104,6.442,8.232,6.828,72.73,155,0
23,9,7.933,8.249,10.085,16.416,77.27,155,0
23,10,7.335,7.653,9.481,9.323,83.12,155,0
23,11,6.999,7.059,8.998,23.342,83.21,138,17
