"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"05/02/2025,""68.93"",""68.93"",""68.93"",""68.93"","""",""3.55%"""
"05/01/2025,""66.57"",""66.57"",""66.57"",""66.57"","""",""0.00%"""
"04/30/2025,""66.57"",""66.57"",""66.57"",""66.57"","""",""-14.59%"""
"04/29/2025,""77.94"",""77.94"",""77.94"",""77.94"","""",""-0.10%"""
"04/28/2025,""78.02"",""78.02"",""78.02"",""78.02"","""",""-0.84%"""
"04/25/2025,""78.68"",""78.68"",""78.68"",""78.68"","""",""-1.24%"""
"04/24/2025,""79.67"",""79.67"",""79.67"",""79.67"","""",""0.01%"""
"04/23/2025,""79.66"",""79.66"",""79.66"",""79.66"","""",""0.28%"""
"04/22/2025,""79.44"",""79.44"",""79.44"",""79.44"","""",""5.55%"""
"04/21/2025,""75.26"",""75.26"",""75.26"",""75.26"","""",""0.00%"""
"04/17/2025,""75.26"",""75.26"",""75.26"",""75.26"","""",""0.15%"""
"04/16/2025,""75.15"",""75.15"",""75.15"",""75.15"","""",""3.87%"""
"04/15/2025,""72.35"",""72.35"",""72.35"",""72.35"","""",""-0.37%"""
"04/14/2025,""72.62"",""72.62"",""72.62"",""72.62"","""",""6.08%"""
"04/11/2025,""68.46"",""68.46"",""68.46"",""68.46"","""",""1.75%"""
"04/04/2025,""67.28"",""67.28"",""67.28"",""67.28"","""",""-1.81%"""
"04/03/2025,""68.52"",""68.52"",""68.52"",""68.52"","""",""-4.63%"""
"04/02/2025,""71.85"",""71.85"",""71.85"",""71.85"","""",""-3.70%"""
"04/01/2025,""74.61"",""74.61"",""74.61"",""74.61"","""",""-2.56%"""
"03/31/2025,""76.57"",""76.57"",""76.57"",""76.57"","""",""-18.70%"""
"03/28/2025,""94.18"",""94.18"",""94.18"",""94.18"","""",""-0.44%"""
"03/27/2025,""94.60"",""94.60"",""94.60"",""94.60"","""",""-0.59%"""
"03/26/2025,""95.16"",""95.16"",""95.16"",""95.16"","""",""0.87%"""
"03/25/2025,""94.34"",""94.34"",""94.34"",""94.34"","""",""-0.52%"""
"03/24/2025,""94.83"",""94.83"",""94.83"",""94.83"","""",""-0.67%"""
"03/21/2025,""95.47"",""95.47"",""95.47"",""95.47"","""",""-0.55%"""
"03/20/2025,""96.00"",""96.00"",""96.00"",""96.00"","""",""0.37%"""
"03/14/2025,""95.65"",""95.65"",""95.65"",""95.65"","""",""1.25%"""
"03/13/2025,""94.47"",""94.47"",""94.47"",""94.47"","""",""1.77%"""
"03/12/2025,""92.83"",""92.83"",""92.83"",""92.83"","""",""-1.09%"""
"03/11/2025,""93.85"",""93.85"",""93.85"",""93.85"","""",""-0.91%"""
"03/10/2025,""94.71"",""94.71"",""94.71"",""94.71"","""",""0.45%"""
"03/07/2025,""94.29"",""94.29"",""94.29"",""94.29"","""",""0.67%"""
"03/06/2025,""93.66"",""93.66"",""93.66"",""93.66"","""",""-2.07%"""
"03/05/2025,""95.64"",""95.64"",""95.64"",""95.64"","""",""-1.01%"""
"03/04/2025,""96.62"",""96.62"",""96.62"",""96.62"","""",""-0.77%"""
"03/03/2025,""97.37"",""97.37"",""97.37"",""97.37"","""",""6.33%"""
"02/28/2025,""91.57"",""91.57"",""91.57"",""91.57"","""",""-28.75%"""
"02/27/2025,""128.52"",""128.52"",""128.52"",""128.52"","""",""0.03%"""
"02/26/2025,""128.48"",""128.48"",""128.48"",""128.48"","""",""-0.29%"""
"02/25/2025,""128.85"",""128.85"",""128.85"",""128.85"","""",""-0.05%"""
"02/24/2025,""128.92"",""128.92"",""128.92"",""128.92"","""",""-0.13%"""
"02/21/2025,""129.09"",""129.09"",""129.09"",""129.09"","""",""3.12%"""
"02/20/2025,""125.19"",""125.19"",""125.19"",""125.19"","""",""1.17%"""
"02/19/2025,""123.74"",""123.74"",""123.74"",""123.74"","""",""-0.23%"""
"02/18/2025,""124.03"",""124.03"",""124.03"",""124.03"","""",""-2.45%"""
"02/14/2025,""127.15"",""127.15"",""127.15"",""127.15"","""",""-3.30%"""
"02/13/2025,""131.49"",""131.49"",""131.49"",""131.49"","""",""-1.76%"""
"02/12/2025,""133.85"",""133.85"",""133.85"",""133.85"","""",""0.19%"""
"02/11/2025,""133.59"",""133.59"",""133.59"",""133.59"","""",""-1.07%"""
"02/10/2025,""135.04"",""135.04"",""135.04"",""135.04"","""",""3.49%"""
"02/07/2025,""130.49"",""130.49"",""130.49"",""130.49"","""",""1.24%"""
"02/06/2025,""128.89"",""128.89"",""128.89"",""128.89"","""",""1.23%"""
"02/05/2025,""127.32"",""127.32"",""127.32"",""127.32"","""",""1.53%"""
"02/04/2025,""125.40"",""125.40"",""125.40"",""125.40"","""",""-2.23%"""
"02/03/2025,""128.26"",""128.26"",""128.26"",""128.26"","""",""-2.89%"""
"01/31/2025,""132.08"",""132.08"",""132.08"",""132.08"","""",""15.72%"""
"01/30/2025,""114.14"",""114.14"",""114.14"",""114.14"","""",""0.06%"""
"01/29/2025,""114.07"",""114.07"",""114.07"",""114.07"","""",""0.00%"""
"01/28/2025,""114.07"",""114.07"",""114.07"",""114.07"","""",""0.14%"""
"01/27/2025,""113.91"",""113.91"",""113.91"",""113.91"","""",""-2.01%"""
"01/24/2025,""116.25"",""116.25"",""116.25"",""116.25"","""",""0.28%"""
"01/23/2025,""115.92"",""115.92"",""115.92"",""115.92"","""",""1.76%"""
"01/22/2025,""113.91"",""113.91"",""113.91"",""113.91"","""",""-0.07%"""
"01/21/2025,""113.99"",""113.99"",""113.99"",""113.99"","""",""0.14%"""
"01/17/2025,""113.83"",""113.83"",""113.83"",""113.83"","""",""1.49%"""
"01/16/2025,""112.16"",""112.16"",""112.16"",""112.16"","""",""-4.40%"""
"01/15/2025,""117.32"",""117.32"",""117.32"",""117.32"","""",""3.20%"""
"01/14/2025,""113.68"",""113.68"",""113.68"",""113.68"","""",""0.93%"""
"01/13/2025,""112.63"",""112.63"",""112.63"",""112.63"","""",""19.39%"""
"01/10/2025,""94.34"",""94.34"",""94.34"",""94.34"","""",""-5.11%"""
"01/09/2025,""99.42"",""99.42"",""99.42"",""99.42"","""",""-4.09%"""
"01/08/2025,""103.66"",""103.66"",""103.66"",""103.66"","""",""-3.00%"""
"01/07/2025,""106.87"",""106.87"",""106.87"",""106.87"","""",""-1.46%"""
"01/06/2025,""108.45"",""108.45"",""108.45"",""108.45"","""",""-3.64%"""
"01/03/2025,""112.55"",""112.55"",""112.55"",""112.55"","""",""-2.06%"""
"01/02/2025,""114.92"",""114.92"",""114.92"",""114.92"","""",""-0.70%"""
"12/31/2024,""115.73"",""115.73"",""115.73"",""115.73"","""",""6.84%"""
"12/30/2024,""108.32"",""108.32"",""108.32"",""108.32"","""",""1.65%"""
"12/27/2024,""106.56"",""106.56"",""106.56"",""106.56"","""",""-0.53%"""
"12/26/2024,""107.13"",""107.13"",""107.13"",""107.13"","""",""-0.02%"""
"12/24/2024,""107.15"",""107.15"",""107.15"",""107.15"","""",""0.27%"""
"12/23/2024,""106.86"",""106.86"",""106.86"",""106.86"","""",""1.19%"""
"12/20/2024,""105.60"",""105.60"",""105.60"",""105.60"","""",""-0.38%"""
"12/19/2024,""106.00"",""106.00"",""106.00"",""106.00"","""",""4.47%"""
"12/18/2024,""101.46"",""101.46"",""101.46"",""101.46"","""",""2.22%"""
"12/17/2024,""99.26"",""99.26"",""99.26"",""99.26"","""",""3.23%"""
"12/16/2024,""96.15"",""96.15"",""96.15"",""96.15"","""",""-7.21%"""
"12/13/2024,""103.62"",""103.62"",""103.62"",""103.62"","""",""-0.37%"""
"12/12/2024,""104.01"",""104.01"",""104.01"",""104.01"","""",""-6.19%"""
"12/11/2024,""110.87"",""110.87"",""110.87"",""110.87"","""",""2.25%"""
"12/10/2024,""108.43"",""108.43"",""108.43"",""108.43"","""",""3.62%"""
"12/09/2024,""104.64"",""104.64"",""104.64"",""104.64"","""",""3.02%"""
"12/06/2024,""101.57"",""101.57"",""101.57"",""101.57"","""",""-2.07%"""
"12/05/2024,""103.72"",""103.72"",""103.72"",""103.72"","""",""1.85%"""
"12/04/2024,""101.84"",""101.84"",""101.84"",""101.84"","""",""-3.54%"""
"12/03/2024,""105.58"",""105.58"",""105.58"",""105.58"","""",""0.52%"""
"12/02/2024,""105.03"",""105.03"",""105.03"",""105.03"","""",""-7.80%"""
"11/29/2024,""113.91"",""113.91"",""113.91"",""113.91"","""",""-0.51%"""
"11/27/2024,""114.49"",""114.49"",""114.49"",""114.49"","""",""-0.46%"""
"11/26/2024,""115.02"",""115.02"",""115.02"",""115.02"","""",""-1.29%"""
"11/25/2024,""116.52"",""116.52"",""116.52"",""116.52"","""",""-0.50%"""
