Date;Price;Open;High;Low;Vol.;Change %
14/02/2025;127,15;127,15;127,15;127,15;;-3,30%
13/02/2025;131,49;131,49;131,49;131,49;;-1,76%
12/02/2025;133,85;133,85;133,85;133,85;;0,19%
11/02/2025;133,59;133,59;133,59;133,59;;-1,07%
10/02/2025;135,04;135,04;135,04;135,04;;3,49%
07/02/2025;130,49;130,49;130,49;130,49;;1,24%
06/02/2025;128,89;128,89;128,89;128,89;;1,23%
05/02/2025;127,32;127,32;127,32;127,32;;1,53%
04/02/2025;125,4;125,4;125,4;125,4;;-2,23%
03/02/2025;128,26;128,26;128,26;128,26;;-2,89%
31/01/2025;132,08;132,08;132,08;132,08;;15,72%
30/01/2025;114,14;114,14;114,14;114,14;;0,06%
29/01/2025;114,07;114,07;114,07;114,07;;0,00%
28/01/2025;114,07;114,07;114,07;114,07;;0,14%
27/01/2025;113,91;113,91;113,91;113,91;;-2,01%
24/01/2025;116,25;116,25;116,25;116,25;;0,28%
23/01/2025;115,92;115,92;115,92;115,92;;1,76%
22/01/2025;113,91;113,91;113,91;113,91;;-0,07%
21/01/2025;113,99;113,99;113,99;113,99;;0,14%
17/01/2025;113,83;113,83;113,83;113,83;;1,49%
16/01/2025;112,16;112,16;112,16;112,16;;-4,40%
15/01/2025;117,32;117,32;117,32;117,32;;3,20%
14/01/2025;113,68;113,68;113,68;113,68;;0,93%
13/01/2025;112,63;112,63;112,63;112,63;;19,39%
10/01/2025;94,34;94,34;94,34;94,34;;-5,11%
09/01/2025;99,42;99,42;99,42;99,42;;-4,09%
08/01/2025;103,66;103,66;103,66;103,66;;-3,00%
07/01/2025;106,87;106,87;106,87;106,87;;-1,46%
06/01/2025;108,45;108,45;108,45;108,45;;-3,64%
03/01/2025;112,55;112,55;112,55;112,55;;-2,06%
02/01/2025;114,92;114,92;114,92;114,92;;-0,70%
31/12/2024;115,73;115,73;115,73;115,73;;6,84%
30/12/2024;108,32;108,32;108,32;108,32;;1,65%
27/12/2024;106,56;106,56;106,56;106,56;;-0,53%
26/12/2024;107,13;107,13;107,13;107,13;;-0,02%
24/12/2024;107,15;107,15;107,15;107,15;;0,27%
23/12/2024;106,86;106,86;106,86;106,86;;1,19%
20/12/2024;105,6;105,6;105,6;105,6;;-0,38%
19/12/2024;106;106;106;106;;4,47%
18/12/2024;101,46;101,46;101,46;101,46;;2,22%
17/12/2024;99,26;99,26;99,26;99,26;;3,23%
16/12/2024;96,15;96,15;96,15;96,15;;-7,21%
13/12/2024;103,62;103,62;103,62;103,62;;-0,37%
12/12/2024;104,01;104,01;104,01;104,01;;-6,19%
11/12/2024;110,87;110,87;110,87;110,87;;2,25%
10/12/2024;108,43;108,43;108,43;108,43;;3,62%
09/12/2024;104,64;104,64;104,64;104,64;;3,02%
06/12/2024;101,57;101,57;101,57;101,57;;-2,07%
05/12/2024;103,72;103,72;103,72;103,72;;1,85%
04/12/2024;101,84;101,84;101,84;101,84;;-3,54%
03/12/2024;105,58;105,58;105,58;105,58;;0,52%
02/12/2024;105,03;105,03;105,03;105,03;;-7,80%
29/11/2024;113,91;113,91;113,91;113,91;;-0,51%
27/11/2024;114,49;114,49;114,49;114,49;;-0,46%
26/11/2024;115,02;115,02;115,02;115,02;;-1,29%
25/11/2024;116,52;116,52;116,52;116,52;;-0,50%
22/11/2024;117,1;117,1;117,1;117,1;;-0,23%
21/11/2024;117,37;117,37;117,37;117,37;;-0,34%
20/11/2024;117,77;117,77;117,77;117,77;;-1,34%
19/11/2024;119,37;119,37;119,37;119,37;;-0,77%
18/11/2024;120,3;120,3;120,3;120,3;;5,10%
15/11/2024;114,46;114,46;114,46;114,46;;0,60%
14/11/2024;113,78;113,78;113,78;113,78;;1,22%
13/11/2024;112,41;112,41;112,41;112,41;;-1,35%
12/11/2024;113,95;113,95;113,95;113,95;;-0,56%
11/11/2024;114,59;114,59;114,59;114,59;;-2,87%
08/11/2024;117,98;117,98;117,98;117,98;;4,23%
07/11/2024;113,19;113,19;113,19;113,19;;2,01%
06/11/2024;110,96;110,96;110,96;110,96;;0,99%
05/11/2024;109,87;109,87;109,87;109,87;;-2,11%
04/11/2024;112,24;112,24;112,24;112,24;;13,57%
01/11/2024;98,83;98,83;98,83;98,83;;2,86%
31/10/2024;96,08;96,08;96,08;96,08;;11,59%
30/10/2024;86,1;86,1;86,1;86,1;;0,00%
29/10/2024;86,1;86,1;86,1;86,1;;-0,38%
28/10/2024;86,43;86,43;86,43;86,43;;0,98%
25/10/2024;85,59;85,59;85,59;85,59;;-0,27%
24/10/2024;85,82;85,82;85,82;85,82;;2,40%
23/10/2024;83,81;83,81;83,81;83,81;;6,20%
22/10/2024;78,92;78,92;78,92;78,92;;-0,11%
21/10/2024;79,01;79,01;79,01;79,01;;2,93%
18/10/2024;76,76;76,76;76,76;76,76;;0,33%
17/10/2024;76,51;76,51;76,51;76,51;;2,70%
16/10/2024;74,5;74,5;74,5;74,5;;-3,07%
15/10/2024;76,86;76,86;76,86;76,86;;-0,36%
14/10/2024;77,14;77,14;77,14;77,14;;2,81%
11/10/2024;75,03;75,03;75,03;75,03;;-3,55%
10/10/2024;77,79;77,79;77,79;77,79;;0,49%
09/10/2024;77,41;77,41;77,41;77,41;;-1,65%
08/10/2024;78,71;77,69;77,69;77,69;;1,23%
07/10/2024;77,75;77,75;77,75;77,75;;3,83%
04/10/2024;74,88;74,88;74,88;74,88;;-1,10%
03/10/2024;75,71;75,71;75,71;75,71;;-0,86%
02/10/2024;76,37;76,37;76,37;76,37;;-1,96%
01/10/2024;77,9;77,9;77,9;77,9;;-1,30%
30/09/2024;78,93;78,93;78,93;78,93;;-0,69%
26/09/2024;79,48;79,48;79,48;79,48;;-0,67%
25/09/2024;80,02;80,02;80,02;80,02;;-1,25%
24/09/2024;81,03;81,03;81,03;81,03;;-1,13%
23/09/2024;81,96;81,96;81,96;81,96;;3,85%
20/09/2024;78,92;78,92;78,92;78,92;;0,62%
